office,committee_type,bank_depository_name,bank_depository_street_1,bank_depository_street_2,bank_depository_state,committee_id,committee_name,candidate_id,candidate_name,cycle,sub_id,coverage_start_date,coverage_end_date,receipt_date,election_year,form_type,report_year,report_type,document_type,document_type_full,beginning_image_number,ending_image_number,pages,total_receipts,total_individual_contributions,net_donations,total_disbursements,total_independent_expenditures,total_communication_cost,cash_on_hand_beginning_period,cash_on_hand_end_period,debts_owed_by_committee,debts_owed_to_committee,house_personal_funds,senate_personal_funds,opposition_personal_funds,treasurer_name,file_number,primary_general_indicator,request_type,amendment_indicator,update_date,pdf_url,fec_url,means_filed,is_amended,most_recent,html_url,state,party,amendment_chain,previous_file_number,most_recent_file_number,amendment_version,form_category,bank_depository_city,bank_depository_zip,additional_bank_names
S,S,,,,,C00865253,COMMITTEE TO ELECT CAROLINE GLEICH,,,2024,4013020251138529149,2024-10-01 00:00:00,2024-10-16 00:00:00,2025-01-30 00:00:00,,F3,2024,12G,,,202501309748379362,202501309748379547,186,70266.58,,,81303.19,,,113855.75,102819.14,61854.69,0.00,,,,"PERRONE, VICTORIA",1869034,P,,A,2025-01-30 20:50:07,https://docquery.fec.gov/pdf/362/202501309748379362/202501309748379362.pdf,https://docquery.fec.gov/dcdev/posted/1869034.fec,e-file,f,t,https://docquery.fec.gov/cgi-bin/forms/C00865253/1869034/,,,"{1841340,1869034}",1841340,1869034,1,REPORT,,,
S,S,,,,,C00727263,JESS SCARANE FOR DELAWARE,,,2024,4013120241817772013,2023-10-01 00:00:00,2023-12-31 00:00:00,2024-01-30 00:00:00,,F3,2023,YE,,,202401309600693617,202401309600693620,4,0.00,,,0.00,,,52444.53,52444.53,0.00,0.00,,,,"MARTIN, WILLIAM C.",1749040,P,,N,2024-01-31 20:49:40,https://docquery.fec.gov/pdf/617/202401309600693617/202401309600693617.pdf,https://docquery.fec.gov/dcdev/posted/1749040.fec,e-file,f,t,https://docquery.fec.gov/cgi-bin/forms/C00727263/1749040/,,,{1749040},1749040,1749040,0,REPORT,,,
H,H,,,,,C00810416,JENNIFER SCHULTZ VOLUNTEER COMMITTEE,,,2024,4080220241999484005,2024-07-01 00:00:00,2024-07-24 00:00:00,2024-08-01 00:00:00,,F3,2024,12P,,,202408019666051641,202408019666051794,154,92375.32,,,110458.41,,,307665.12,289582.03,0.00,0.00,,,,"WEIDNER, ROBERT",1807522,P,,N,2024-08-02 20:54:23,https://docquery.fec.gov/pdf/641/202408019666051641/202408019666051641.pdf,https://docquery.fec.gov/dcdev/posted/1807522.fec,e-file,f,t,https://docquery.fec.gov/cgi-bin/forms/C00810416/1807522/,,,{1807522},1807522,1807522,0,REPORT,,,
H,H,,,,,C00806307,BRANDON FOR CONGRESS NY22,,,2024,4101520242069566151,2024-07-01 00:00:00,2024-09-30 00:00:00,2024-10-15 00:00:00,,F3,2024,Q3,,,202410159689018785,202410159689022018,3234,935601.86,,,938929.82,,,1363587.49,1360259.53,0.00,0.00,,,,"WOJCIECHOWSKI, MARIA",1828614,P,,N,2024-10-15 20:50:17,https://docquery.fec.gov/pdf/785/202410159689018785/202410159689018785.pdf,https://docquery.fec.gov/dcdev/posted/1828614.fec,e-file,f,t,https://docquery.fec.gov/cgi-bin/forms/C00806307/1828614/,,,{1828614},1828614,1828614,0,REPORT,,,
H,H,,,,,C00752584,"NIKEMA FOR CONGRESS, INC",,,2024,4102520242081497057,2024-10-01 00:00:00,2024-10-16 00:00:00,2024-10-24 00:00:00,,F3,2024,12G,,,202410249713483002,202410249713483061,60,42620.52,,,35346.36,,,79548.79,86822.95,0.00,0.00,,,,"JORDAN, RICHARD LAWTON III",1841665,P,,N,2024-10-25 20:50:24,https://docquery.fec.gov/pdf/002/202410249713483002/202410249713483002.pdf,https://docquery.fec.gov/dcdev/posted/1841665.fec,e-file,f,t,https://docquery.fec.gov/cgi-bin/forms/C00752584/1841665/,,,{1841665},1841665,1841665,0,REPORT,,,
H,H,,,,,C00742627,FRAN FLYNN CAMPAIGN,,,2024,4070420231752866006,2023-04-01 00:00:00,2023-06-30 00:00:00,2023-07-04 00:00:00,,F3,2023,Q2,,,202307049582430583,202307049582430590,8,0.00,,,0.00,,,-6394.40,-6394.40,-959.70,0.00,,,,"WOODRUFF, RANDALL",1709504,P,,N,2023-07-04 20:51:38,https://docquery.fec.gov/pdf/583/202307049582430583/202307049582430583.pdf,https://docquery.fec.gov/dcdev/posted/1709504.fec,e-file,t,f,https://docquery.fec.gov/cgi-bin/forms/C00742627/1709504/,,,{1709504},1709504,1734038.000000000000,0,REPORT,,,
S,S,,,,,C00888305,MURKOWSKI CURTIS VICTORY FUND,,,2024,4102320242076187031,2024-10-01 00:00:00,2024-10-16 00:00:00,2024-10-23 00:00:00,,F3,2024,12G,,,202410239710111124,202410239710111129,6,1250.00,,,211.80,,,5539.40,6577.60,0.00,0.00,,,,"KOCH, TIMOTHY A.",1836261,P,,N,2024-10-23 20:56:27,https://docquery.fec.gov/pdf/124/202410239710111124/202410239710111124.pdf,https://docquery.fec.gov/dcdev/posted/1836261.fec,e-file,f,t,https://docquery.fec.gov/cgi-bin/forms/C00888305/1836261/,,,{1836261},1836261,1836261,0,REPORT,,,
H,H,,,,,C00786194,CISCOMANI FOR CONGRESS,,,2024,4101520242069566033,2024-07-11 00:00:00,2024-09-30 00:00:00,2024-10-15 00:00:00,,F3,2024,Q3,,,202410159688027027,202410159688027835,809,1398260.76,,,2298121.68,,,2667947.02,1768086.10,0.00,0.00,,,,"RAGAN, ASHLEY",1828335,P,,N,2024-10-15 20:50:17,https://docquery.fec.gov/pdf/027/202410159688027027/202410159688027027.pdf,https://docquery.fec.gov/dcdev/posted/1828335.fec,e-file,f,t,https://docquery.fec.gov/cgi-bin/forms/C00786194/1828335/,,,{1828335},1828335,1828335,0,REPORT,,,
H,H,,,,,C00814533,ANTHONY TONY HILL FOR CONGRESS,,,2024,4041620241895795276,2024-01-01 00:00:00,2024-03-31 00:00:00,2024-04-15 00:00:00,,F3,2024,Q1,,,202404159633321048,202404159633321051,4,0.00,,,0.00,,,18891.74,18891.74,0.00,0.00,,,,"WILSON, JANET",1776371,P,,N,2024-04-16 20:49:40,https://docquery.fec.gov/pdf/048/202404159633321048/202404159633321048.pdf,https://docquery.fec.gov/dcdev/posted/1776371.fec,e-file,f,t,https://docquery.fec.gov/cgi-bin/forms/C00814533/1776371/,,,{1776371},1776371,1776371,0,REPORT,,,
H,H,,,,,C00556506,TED LIEU FOR CONGRESS,,,2024,4041520231742619573,2023-01-01 00:00:00,2023-03-31 00:00:00,2023-04-15 00:00:00,,F3,2023,Q1,,,202304159580931869,202304159580932059,191,368518.13,,,239972.62,,,794390.83,922936.34,2536.00,0.00,,,,"HALE, TONY",1700104,P,,N,2023-04-15 20:53:06,https://docquery.fec.gov/pdf/869/202304159580931869/202304159580931869.pdf,https://docquery.fec.gov/dcdev/posted/1700104.fec,e-file,f,t,https://docquery.fec.gov/cgi-bin/forms/C00556506/1700104/,,,{1700104},1700104,1700104,0,REPORT,,,
