STATE,DISTRICT,NAME,PARTY,CHAMBER,EXPERIENCE,VOTING_MEMBER,IN_CYCLE,RETIREMENT,CPR_TOSSUP,COMMITTEE_ID,COMMITTEE_NAME,,
Alabama,1,"Carl, Jerry L.",Republican,House,incumbent,Y,Y,N,N,C00697789,JERRY CARL FOR CONGRESS,,
Alabama,2,"Moore, Barry",Republican,House,incumbent,Y,Y,N,N,C00720375,BARRY MOORE FOR CONGRESS,,
Alabama,3,"Rogers, Mike D.",Republican,House,incumbent,Y,Y,N,N,C00367862,MIKE ROGERS FOR CONGRESS,,
Alabama,4,"Aderholt, Robert B.",Republican,House,incumbent,Y,Y,N,N,C00313247,ROBERT ADERHOLT FOR CONGRESS,,
Alabama,5,"Strong, Dale W.",Republican,House,freshman,Y,Y,N,N,C00774281,DALE STRONG FOR CONGRESS,,
Alabama,6,"Palmer, Gary J.",Republican,House,incumbent,Y,Y,N,N,C00551374,GARY PALMER FOR CONGRESS,,
Alabama,7,"Sewell, Terri A.",Democratic,House,incumbent,Y,Y,N,N,C00458976,TERRI SEWELL FOR CONGRESS,,
Alabama,Senator - At Large,"Britt, Katie Boyd",Republican,Senate,freshman,Y,N,N,N,C00781443,BRITT FOR ALABAMA INC,,
Alabama,Senator - At Large,"Tuberville, Tommy",Republican,Senate,incumbent,Y,N,N,N,C00701672,"TUBERVILLE FOR SENATE, INC.",,
Alaska,At Large,"Peltola, Mary Sattler",Democratic,House,incumbent,Y,Y,N,Y,C00812388,MARY PELTOLA FOR ALASKA,,
Alaska,Senator - At Large,"Murkowski, Lisa",Republican,Senate,incumbent,Y,N,N,N,C00384529,LISA MURKOWSKI FOR US SENATE,,
Alaska,Senator - At Large,"Sullivan, Dan",Republican,Senate,incumbent,Y,N,N,N,C00570994,ALASKANS FOR DAN SULLIVAN,,
American Samoa,At Large,"Radewagen, Aumua Amata Coleman",Republican,House,incumbent,N,Y,N,N,C00393041,FRIENDS OF AMATA,,
Arizona,1,"Schweikert, David",Republican,House,incumbent,Y,Y,N,Y,C00540617,FRIENDS OF DAVID SCHWEIKERT,,
Arizona,2,"Crane, Elijah ",Republican,House,freshman,Y,Y,N,N,C00784934,ELI CRANE FOR CONGRESS,,
Arizona,3,"Gallego, Ruben",Democratic,House,incumbent,Y,Y,Y,N,C00558627,GALLEGO FOR ARIZONA,,
Arizona,4,"Stanton, Greg",Democratic,House,incumbent,Y,Y,N,N,C00657304,STANTON FOR CONGRESS,,
Arizona,5,"Biggs, Andy",Republican,House,incumbent,Y,Y,N,N,C00610451,BIGGS FOR CONGRESS,,
Arizona,6,"Ciscomani, Juan",Republican,House,freshman,Y,Y,N,Y,C00786194,CISCOMANI FOR CONGRESS,,
Arizona,7,"Grijalva, Raul M.",Democratic,House,incumbent,Y,Y,N,N,C00374058,A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,,
Arizona,8,"Lesko, Debbie",Republican,House,incumbent,Y,Y,Y,N,C00663914,DEBBIE LESKO FOR CONGRESS,,
Arizona,9,"Gosar, Paul A.",Republican,House,incumbent,Y,Y,N,N,C00461806,GOSAR FOR CONGRESS,,
Arizona,Senator - At Large,"Kelly, Mark",Democratic,Senate,incumbent,Y,N,N,N,C00696526,MARK KELLY FOR SENATE,,
Arizona,Senator - At Large,"Sinema, Kyrsten",Independent,Senate,incumbent,Y,"NA, RETIRED",Y,N,C00508804,SINEMA FOR ARIZONA,,
Arkansas,1,"Crawford, Eric A. ""Rick""",Republican,House,incumbent,Y,Y,N,N,C00462374,CRAWFORD FOR CONGRESS,,
Arkansas,2,"Hill, J. French",Republican,House,incumbent,Y,Y,N,N,C00551275,FRENCH HILL FOR ARKANSAS,,
Arkansas,3,"Womack, Steve",Republican,House,incumbent,Y,Y,N,N,C00477745,WOMACK FOR CONGRESS COMMITTEE,,
Arkansas,4,"Westerman, Bruce",Republican,House,incumbent,Y,Y,N,N,C00548180,WESTERMAN FOR CONGRESS,,
Arkansas,Senator - At Large,"Boozman, John",Republican,Senate,incumbent,Y,N,N,N,C00476317,BOOZMAN FOR ARKANSAS,,
Arkansas,Senator - At Large,"Cotton, Tom",Republican,Senate,incumbent,Y,N,N,N,C00499988,"COTTON FOR SENATE, INC.",,
California,1,"LaMalfa, Doug",Republican,House,incumbent,Y,Y,N,N,C00509422,DOUG LAMALFA COMMITTEE,,
California,2,"Huffman, Jared",Democratic,House,incumbent,Y,Y,N,N,C00536680,HUFFMAN FOR CONGRESS,,
California,3,"Kiley, Kevin",Republican,House,freshman,Y,Y,N,N,C00801985,KEVIN KILEY FOR CONGRESS,,
California,4,"Thompson, Mike",Democratic,House,incumbent,Y,Y,N,N,C00326363,MIKE THOMPSON FOR CONGRESS,,
California,5,"McClintock, Tom",Republican,House,incumbent,Y,Y,N,N,C00446815,MCCLINTOCK FOR CONGRESS,,
California,6,"Bera, Ami",Democratic,House,incumbent,Y,Y,N,N,C00461061,BERA FOR CONGRESS,,
California,7,"Matsui, Doris O.",Democratic,House,incumbent,Y,Y,N,N,C00409219,MATSUI FOR CONGRESS,,
California,8,"Garamendi, John",Democratic,House,incumbent,Y,Y,N,N,C00462697,GARAMENDI FOR CONGRESS,,
California,9,"Harder, Josh",Democratic,House,incumbent,Y,Y,N,N,C00639146,JOSH HARDER FOR CONGRESS,,
California,10,"DeSaulnier, Mark",Democratic,House,incumbent,Y,Y,N,N,C00554709,MARK DESAULNIER FOR CONGRESS,,
California,11,"Pelosi, Nancy",Democratic,House,incumbent,Y,Y,N,N,C00213512,NANCY PELOSI FOR CONGRESS,,
California,12,"Lee, Barbara",Democratic,House,incumbent,Y,Y,Y,N,C00331769,BARBARA LEE FOR CONGRESS,,
California,13,"Duarte, John S.",Republican,House,freshman,Y,Y,N,Y,C00808279,JOHN DUARTE FOR CONGRESS,,
California,14,"Swalwell, Eric",Democratic,House,incumbent,Y,Y,N,N,C00502294,SWALWELL FOR CONGRESS,,
California,15,"Mullin, Kevin",Democratic,House,freshman,Y,Y,N,N,C00795005,KEVIN MULLIN FOR CONGRESS,,
California,16,"Eshoo, Anna G.",Democratic,House,incumbent,Y,Y,Y,N,C00258475,ANNA ESHOO FOR CONGRESS,,
California,17,"Khanna, Ro",Democratic,House,incumbent,Y,Y,N,N,C00503185,RO FOR CONGRESS INC,,
California,18,"Lofgren, Zoe",Democratic,House,incumbent,Y,Y,N,N,C00289603,LOFGREN FOR CONGRESS,,
California,19,"Panetta, Jimmy",Democratic,House,incumbent,Y,Y,N,N,C00592154,JIMMY PANETTA FOR CONGRESS,,
California,20,"Fong, Vince",Republican,House,freshman,Y,Y,N,N,C00859892,VINCE FONG FOR CONGRESS,,
California,21,"Costa, Jim",Democratic,House,incumbent,Y,Y,N,N,C00391029,JIM COSTA FOR CONGRESS,,
California,22,"Valadao, David G.",Republican,House,incumbent,Y,Y,N,Y,C00499392,VALADAO FOR CONGRESS,,
California,23,"Obernolte, Jay",Republican,House,incumbent,Y,Y,N,N,C00720078,JAY OBERNOLTE FOR CONGRESS,,
California,24,"Carbajal, Salud O.",Democratic,House,incumbent,Y,Y,N,N,C00576041,SALUD CARBAJAL FOR CONGRESS,,
California,25,"Ruiz, Raul",Democratic,House,incumbent,Y,Y,N,N,C00502575,DR. RAUL RUIZ FOR CONGRESS,,
California,26,"Brownley, Julia",Democratic,House,incumbent,Y,Y,N,N,C00513077,JULIA BROWNLEY FOR CONGRESS,,
California,27,"Garcia, Mike",Republican,House,incumbent,Y,Y,N,Y,C00701102,MIKE GARCIA FOR CONGRESS,,
California,28,"Chu, Judy",Democratic,House,incumbent,Y,Y,N,N,C00458125,JUDY CHU FOR CONGRESS,,
California,29,"Cárdenas, Tony",Democratic,House,incumbent,Y,Y,Y,N,C00498873,TONY CARDENAS FOR CONGRESS,,
