NAME,LEADERSHIP_PAC_1_ID,PAC 1 RECEIPTS,LEADERSHIP_PAC_2_ID,PAC 2 RECEIPTS,LEADERSHIP_PAC_3_ID,PAC 3 RECEIPTS,LEADERSHIP_PAC_4,PAC 4 RECEIPTS,TOTAL RECEIPTS,,,,,,,,,,,
"Carl, Jerry L.",C00752287,122414.79,,0,,#N/A,,#N/A,#N/A,,,,,,,,,,,
"Moore, Barry",C00784868,10000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Rogers, Mike D.",C00439521,603631.46,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Aderholt, Robert B.",C00487942,164832.89,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Strong, Dale W.",C00823500,157902.57,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Palmer, Gary J.",C00585893,150944.12,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Sewell, Terri A.",C00525030,304500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Britt, Katie Boyd",C00821058,1609428.88,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Tuberville, Tommy",C00762260,304809.16,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Peltola, Mary Sattler",C00831545,292758.38,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Murkowski, Lisa",C00438291,829717.48,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Sullivan, Dan",C00571000,1003725.74,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Radewagen, Aumua Amata Coleman",C00479378,19615.4,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Schweikert, David",C00497594,133161.22,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Crane, Elijah",C00827675,8500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Gallego, Ruben",C00576975,300700,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Stanton, Greg",C00758862,76200,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Biggs, Andy",C00633164,21738,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Ciscomani, Juan",C00822833,393438.86,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Grijalva, Ra√∫l M.",C00426965,37696,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Lesko, Debbie",C00681643,16924.26,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Gosar, Paul A.",C00563247,28500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Kelly, Mark",C00785816,1587780.26,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Sinema, Kyrsten",C00571182,1256306.4,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Crawford, Eric A. ""Rick""",C00570770,202800,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Hill, J. French",C00623512,1146080.3,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Womack, Steve",C00493361,386412.01,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Westerman, Bruce",C00607721,308982.65,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Boozman, John",C00413948,1656304.39,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Cotton, Tom",C00296640,1367900.87,C00764878,10000,,#N/A,,#N/A,,,,,,,,,,,,
"LaMalfa, Doug",C00576249,48500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Huffman, Jared",C00564260,198793,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Kiley, Kevin",C00818328,63405,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Thompson, Mike",C00378695,321116,,0,,#N/A,,#N/A,,,,,,,,,,,,
"McClintock, Tom",C00461137,21383.5,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Bera, Ami",C00561779,161044.54,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Matsui, Doris O.",C00165548,302830.01,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Garamendi, John",C00495705,61800,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Harder, Josh",C00705368,65564.88,,0,,#N/A,,#N/A,,,,,,,,,,,,
"DeSaulnier, Mark",C00589606,21540.5,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Pelosi, Nancy",C00344234,7789570.74,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Lee, Barbara",C00403071,206140.27,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Duarte, John S.",C00818344,248957.75,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Swalwell, Eric",C00566059,324668,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Mullin, Kevin",C00867978,51300,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Eshoo, Anna G.",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Khanna, Ro",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Lofgren, Zoe",C00343574,211011.35,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Panetta, Jimmy",C00680132,531300.98,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Fong, Vince",C00881490,20215.82,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Costa, Jim",C00614917,76959,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Valadao, David G.",C00712695,218232.48,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Obernolte, Jay",C00752790,111815.91,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Carbajal, Salud O.",C00656132,269985,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Ruiz, Raul",C00569871,345605.1,C00887588,1197514.48,,#N/A,,#N/A,,,,,,,,,,,,
"Brownley, Julia",C00567495,75000,C00868307,139288.4,C00886978,885057.07,,#N/A,,,,,,,,,,,,
"Garcia, Mike",C00742346,202430.06,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Chu, Judy",C00667360,125500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Cárdenas, Tony",C00570101,305135.03,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Schiff, Adam B.",C00422774,658759.39,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Napolitano, Grace F.",C00871178,5000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Sherman, Brad",C00361410,425999.25,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Aguilar, Pete",C00573709,1700158.86,C00663609,579813.64,,#N/A,,#N/A,,,,,,,,,,,,
"Gomez, Jimmy",C00683250,294773.44,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Torres, Norma J.",C00571570,53696.6,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Lieu, Ted",C00589309,325940.8,C00798579,30000,,#N/A,,#N/A,,,,,,,,,,,,
"Kamlager-Dove, Sydney",C00822478,41651,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Sánchez, Linda T.",C00423079,368369,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Takano, Mark",C00547356,172000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Kim, Young",C00683508,449557.06,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Calvert, Ken",C00390161,634741.91,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Garcia, Robert",C00823773,164931.5,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Waters, Maxine",C00248948,127111.63,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Barragan, Nanette Diaz",C00659771,200750,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Steel, Michelle",C00744532,370880.24,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Correa, J. Luis",C00630285,62605,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Porter, Katie",C00747766,1031005.66,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Issa, Darrell E.",C00450320,188121.27,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Levin, Mike",C00695395,151307.23,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Peters, Scott H.",C00563601,484438.09,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Jacobs, Sara",C00768887,122965,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Vargas, Juan",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Butler, Laphonza",C00855437,119500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Padilla, Alex",C00771238,1441383.73,,0,,#N/A,,#N/A,,,,,,,,,,,,
"DeGette, Diana",C00380675,80750.01,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Neguse, Joe",C00701680,287035.44,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Boebert, Lauren",C00764795,59327.44,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Lopez, Greg",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Lamborn, Doug",C00531756,15000,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Crow, Jason",C00727784,114850,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Pettersen, Brittany",C00829408,157877.99,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Caraveo, Yadira",,0,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Bennet, Michael F.",C00491936,281711.08,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Hickenlooper, John W.",C00687582,420649.45,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Larson, John B.",C00409623,290009.43,,0,,#N/A,,#N/A,,,,,,,,,,,,
"Courtney, Joe",C00464727,105500,,0,,#N/A,,#N/A,,,,,,,,,,,,
"DeLauro, Rosa L.",C00370122,415071.22,,0,,#N/A,,#N/A,,,,,,,,,,,,
