NAME,STATE,DISTRICT,PARTY,EXPERIENCE,CHAMBER,VOTING_MEMBER,LEADERSHIP_PAC_1,LEADERSHIP_PAC_2,LEADERSHIP_PAC_3,LEADERSHIP_PAC_4,LEADERSHIP_PAC_1_ID,LEADERSHIP_PAC_1_NAME,LEADERSHIP_PAC_2_ID,LEADERSHIP_PAC_2_NAME,LEADERSHIP_PAC_3_ID,LEADERSHIP_PAC_3_NAME,LEADERSHIP_PAC_4_ID,LEADERSHIP_PAC_4_NAME
"Carl, Jerry L.",Alabama,1,Republican,incumbent,House,Y,Y,N,N,N,C00752287,Conservative American Republican Leadership PAC,,,,,,
"Moore, Barry",Alabama,2,Republican,incumbent,House,Y,Y,N,N,N,C00784868,TRUSTWORTHY REPUBLICANS ALWAYS SERVE HUMBLY,,,,,,
"Rogers, Mike D.",Alabama,3,Republican,incumbent,House,Y,Y,N,N,N,C00439521,American Security PAC,,,,,,
"Aderholt, Robert B.",Alabama,4,Republican,incumbent,House,Y,Y,N,N,N,C00487942,Reaching for a Brighter America PAC,,,,,,
"Strong, Dale W.",Alabama,5,Republican,freshman,House,Y,Y,N,N,N,C00823500,SECURING THE REPUBLIC FOR OUR NEXT GENERATION,,,,,,
"Palmer, Gary J.",Alabama,6,Republican,incumbent,House,Y,Y,N,N,N,C00585893,Conservative Promises PAC,,,,,,
"Sewell, Terri A.",Alabama,7,Democratic,incumbent,House,Y,Y,N,N,N,C00525030,TERRI PAC,,,,,,
"Britt, Katie Boyd",Alabama,At Large,Republican,freshman,Senate,Y,Y,N,N,N,C00821058,ALABAMA FIRST PAC,,,,,,
"Tuberville, Tommy",Alabama,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00762260,Coach PAC,,,,,,
"Peltola, Mary Sattler",Alaska,At Large,Democratic,incumbent,House,Y,Y,N,N,N,C00831545,CACHE PAC,,,,,,
"Murkowski, Lisa",Alaska,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00438291,Denali Leadership PAC,,,,,,
"Sullivan, Dan",Alaska,At Large,Republican,incumbent,Senate,Y,Y,N,N,N,C00571000,True North PAC,,,,,,
"Radewagen, Aumua Amata Coleman",American Samoa,At Large,Republican,incumbent,House,N,Y,N,N,N,C00479378,CONCERNED CITIZENS COMING TO A CONSENSUS ON CULTURAL AND COMMERCE CHALLENGES,,,,,,
"Schweikert, David",Arizona,1,Republican,incumbent,House,Y,Y,N,N,N,C00497594,Defending America's Values Everywhere,,,,,,
"Crane, Elijah ",Arizona,2,Republican,freshman,House,Y,Y,N,N,N,C00827675,TRIDENT POLITICAL ACTION COMMITTEE,,,,,,
"Gallego, Ruben",Arizona,3,Democratic,incumbent,House,Y,Y,N,N,N,C00576975,LLEGO-PAC,,,,,,
"Stanton, Greg",Arizona,4,Democratic,incumbent,House,Y,Y,N,N,N,C00758862,GETTING RESULTS BY ENGAGING THE GRASSROOTS (GREG PAC),,,,,,
"Biggs, Andy",Arizona,5,Republican,incumbent,House,Y,Y,N,N,N,C00633164,Building Innovative Good Government Solutions PAC,,,,,,
"Ciscomani, Juan",Arizona,6,Republican,freshman,House,Y,Y,N,N,N,C00822833,DEFENDING THE AMERICAN DREAM PAC,,,,,,
"Grijalva, Raúl M.",Arizona,7,Democratic,incumbent,House,Y,Y,N,N,N,C00426965,Livable Communities PAC,,,,,,
"Lesko, Debbie",Arizona,8,Republican,incumbent,House,Y,Y,N,N,N,C00681643,DELIVER. EXCEL. BELIEVE. PAC DEB PAC,,,,,,
"Gosar, Paul A.",Arizona,9,Republican,incumbent,House,Y,Y,N,N,N,C00563247,Protecting America Under Law,,,,,,
"Kelly, Mark",Arizona,At Large,Democratic,incumbent,Senate,Y,Y,N,N,N,C00785816,LIFTOFF PAC,,,,,,
"Sinema, Kyrsten",Arizona,At Large,Independent,incumbent,Senate,Y,Y,N,N,N,C00571182,Getting Stuff Done PAC,,,,,,
"Crawford, Eric A. ""Rick""",Arkansas,1,Republican,incumbent,House,Y,Y,N,N,N,C00570770,Rural America Counts PAC,,,,,,
"Hill, J. French",Arkansas,2,Republican,incumbent,House,Y,Y,N,N,N,C00623512,In The Arena PAC,,,,,,
"Womack, Steve",Arkansas,3,Republican,incumbent,House,Y,Y,N,N,N,C00493361,Razor PAC,,,,,,
